0,stephanie;21,34,71,64,1,75,69,55,24,20,6,38,29,61,84,84,81,88,97,89
1,kevin;90,40,36,87,72,54,15,8,19,73,81,58,37,99,96,24,38,13,100,99,78,1,57,15,79,16,58,87,100,33,39,61,83,26,76,63
2,henry;96,35,19,50,25,8,52,35,86,39,7,79,75,93,47,52,54,43,90,74,100,81,73,53,34,22,81,95,55,87,69,97,83,72,4,96,70,58,83,30,57,49,57,99,46,99,20,41,17,90,45,67,82,99,83,75,27,83,44,21,39,30,91
3,eduardo;18,14,1,8,32,18,19,43,4,90,83,16,24,100,70,10,75,45,29,11,70,87,35,7,3,79,22,87,36,16,8,13,76,76,61,5,4,34,90,69,100,85,2,0,23,36,11,80,0,23,68,71,43,78,86,87,22,57,40,94,66,90,79,54,22,49,46,69,21,9,76,54,29,85,63,86,22,84,32,26,23,70,4,46,44,16,72,20,50,0,96
4,manuel;82,27,10,82,21,32,95,45,88,17,38,27,48,26,13,22,96,29,17,48,14,80,18,16,4,57,90,6,67,60,21,35,71,67,73,5,23,28,16,66,26,72,12,81,16,5,21,35,20,91,53,84,52,16,35,52,100,74,0,18,27,46,99,63,37,85
5,daniel;93,96,94,29,21,26,80,83,19,55,42,50,57,44,64,80,6,100,16,93,73,25,95,99,31,20,4,17,89,59,39,31,35,27,56,23,50,42,67,63,19,99,64,9,45,85,2,71,5,73,19,20,7,24,55,31,1,99,42,26,18,39,43,21,15,6,35
6,ricardo;63,31,84,68,58,42,72,45,63,15,31,42,33,75,97,20,22,91,35,24,16,28,41,65,37,10,81,56,13,10,52,1,52,67,29,64,98,35,68,25,10,100,90,16,52,54,88,7,0,42,2,93,77,72,24,75,7,25,36,24,69,51,91,16,28,68,51,96,17,61,39,15,19,52,39,76,59,39,41,7,25,31,96,78,90,13,47,89,51,7,34,53,88,71,24,84,33
7,maria;50,57,86,52,53,23,99,79,87,96,65,22,41,33,94,72,49,99,23,23,28,1,77,13,51,89,32,71,97,84,5,14,12,10,58,6,8,34,12,26,1,2,7,65,66,73,60,81,22,18,86,67,83,10,33,34,91,7,0,83,96,55,48,64
8,kerlyn;98,48,11,91,11,56,55,94,68,72,6,63,76,4,41,100,32,75,74,16,31,77,47,51,49,23,23,38,79,77,98,59,93,44,82,79,17,5,66,1,15,47,67,57,16,73,84,38,55,84,92,79,20,30,6,38,25,65,65,11,10,73,53,0,80,62,61,65,41,49,95,80,19,4,33,34,72,0,75,27,0,72,82,80,15,67,82,89,98,6,22,100,81,53,62
9,pamela;40,73,95,40,42,62,97,19,64,37,63,91,78,59,28,17,73,7,44,56,42,61,21,63,93,53,40,1,65,91,67,70,33,71,45,59,12,90,64,1,65,85,45,2,66,52
10,karla;56,69,68,2,76,88,100,71,82,0,40,29,7,26,37,34,22,53,82,6,47,60,8,45,61,77,15,57,40,78,67,93,39,100,46,66,8
11,carlos;23,54,8,41,25,89,29,31,3,79,6,96,53,21,56,33,26,68,42,33,6,34,32,30,85,27,68,75
12,ariel;65,17,22,14,22,90,88,26,74,99,0,37,47,57
